_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
607,4153373,2017,1929,2023,PRIVATE,12,Toronto-St. Paul's,2 CLARENDON AVE,4,49,2023-08-11,100,100,0,45,3,3,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,3,N/A,3,3,3,N/A,3,3,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1237,43.683582922,-79.400753772,312785.791,4837964.405
608,4253833,2018,1960,2023,PRIVATE,04,Parkdale-High Park,1 CLAUDE AVE,3,30,2023-12-03,82,82,0,38,3,2,3,2,3,2,N/A,3,2,3,N/A,N/A,3,3,2,2,3,N/A,3,2,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,2,3,3,N/A,2,2,3,2,2,2,3,1,2,3,3,3,3,3,0,3,S0434,43.639823941,-79.451749578,308677.112,4833099.385
609,4154942,2017,1955,2023,PRIVATE,12,Toronto-St. Paul's,3 CLAXTON BLVD,3,19,2023-08-20,86,86,0,34,2,2,3,N/A,N/A,2,N/A,2,2,1,N/A,N/A,3,3,3,3,3,N/A,3,3,1,N/A,N/A,N/A,3,N/A,N/A,N/A,3,3,3,N/A,N/A,N/A,3,3,N/A,3,3,3,3,3,1,3,3,3,3,3,3,3,S1229,43.6869650941,-79.420416441,311200.387,4838337.511
610,4154941,2017,1937,2023,PRIVATE,12,Toronto-St. Paul's,5 CLAXTON BLVD,3,18,2023-08-30,85,85,0,33,3,N/A,N/A,N/A,N/A,2,N/A,3,2,3,N/A,N/A,3,3,2,2,2,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,2,N/A,3,N/A,2,3,3,1,2,3,3,3,3,3,3,3,3,1,3,3,S1229,43.6871107357,-79.4206390043,311182.429,4838353.676
611,4154921,2017,1967,2023,PRIVATE,16,Don Valley East,32 CLAYLAND DR,5,64,2023-08-26,97,97,0,43,3,3,N/A,3,3,3,3,3,2,3,N/A,N/A,3,3,3,3,3,N/A,N/A,3,3,N/A,N/A,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1622,43.7604975469,-79.3303911493,318441.452,4846517.44
612,4155096,2017,1960,2023,PRIVATE,05,York South-Weston,30 CLEARVIEW HTS,4,25,2023-10-28,85,85,0,39,3,3,2,N/A,N/A,2,2,2,2,2,N/A,2,2,3,2,3,2,N/A,3,3,2,N/A,N/A,3,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,3,2,3,3,2,3,3,3,3,3,1,3,3,1,3,3,W0532,43.6932353032,-79.4795788454,306430.615,4839031.266
613,4155099,2017,1951,2023,PRIVATE,05,York South-Weston,60 CLEARVIEW HTS,4,37,2023-06-15,83,83,0,41,3,3,3,2,N/A,1,2,3,3,2,N/A,2,3,3,3,3,2,N/A,3,3,3,N/A,N/A,1,3,N/A,N/A,N/A,3,3,2,3,3,N/A,3,2,2,3,2,3,3,3,3,1,1,3,1,1,1,1,W0532,43.692977471,-79.48134741,306287.792,4839003.552
614,4155114,2017,1950,2023,PRIVATE,05,York South-Weston,79 CLEARVIEW HTS,4,54,2023-10-29,67,67,0,37,3,2,1,N/A,N/A,2,N/A,2,2,1,N/A,N/A,2,3,2,2,2,N/A,2,2,3,N/A,N/A,1,2,N/A,N/A,N/A,2,3,3,N/A,2,N/A,3,1,2,1,2,3,2,3,1,3,2,0,2,1,1,1,W0532,43.692294791,-79.482440365,306199.702,4838927.692
615,4155101,2017,1951,2023,PRIVATE,05,York South-Weston,80 CLEARVIEW HTS,4,36,2023-06-15,83,83,0,40,3,3,2,2,N/A,2,2,3,3,2,N/A,N/A,3,3,3,2,2,N/A,3,3,2,N/A,N/A,1,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,2,3,3,2,3,2,3,2,1,1,2,1,1,1,1,W0532,43.693064312,-79.482178967,306220.758,4839013.187
616,4155113,2017,1950,2023,PRIVATE,05,York South-Weston,81 CLEARVIEW HTS,3,40,2023-10-29,66,67,-1,37,3,2,1,N/A,N/A,2,N/A,2,2,2,N/A,N/A,1,3,2,2,2,N/A,2,2,2,N/A,N/A,1,2,N/A,N/A,N/A,2,3,3,N/A,2,N/A,3,1,3,1,2,3,2,3,1,3,2,0,2,1,1,1,W0532,43.692447216,-79.482711179,306177.868,4838944.622
617,4155111,2017,1958,2023,PRIVATE,05,York South-Weston,85 CLEARVIEW HTS,3,35,2023-07-14,90,90,0,38,3,2,3,3,N/A,2,N/A,2,2,3,N/A,N/A,3,3,3,3,2,N/A,3,2,N/A,N/A,N/A,2,3,N/A,N/A,N/A,2,2,3,3,3,N/A,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,W0532,43.692772378,-79.483091733,306147.185,4838980.741
618,4270534,2017,1981,2023,PRIVATE,02,Etobicoke Centre,105 CLEMENT RD,7,195,2023-08-03,98,98,0,46,3,3,3,3,3,3,3,3,2,3,N/A,N/A,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,W0221,43.680522919,-79.55416175,300417.27,4837621.239
619,4153157,2017,1989,2023,TCHC,11,University-Rosedale,72 CLINTON ST,7,157,2023-09-24,93,93,0,46,3,3,2,3,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,2,3,2,N/A,N/A,3,2,3,2,3,3,2,3,3,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,S1133,43.655689409,-79.414956252,311643.949,4834864.327
620,4155728,2018,1970,2023,PRIVATE,11,University-Rosedale,318 CLINTON ST,3,12,2023-10-30,57,57,0,37,3,3,N/A,N/A,N/A,1,N/A,3,2,3,N/A,N/A,2,1,1,2,0,N/A,3,2,0,N/A,N/A,2,3,N/A,N/A,N/A,1,1,2,1,3,N/A,1,2,3,3,2,3,2,1,0,0,0,0,0,0,0,0,S1133,43.662511227,-79.417002758,311478.057,4835622.035
621,4155753,2017,1992,2023,PRIVATE,11,University-Rosedale,336 CLINTON ST,3,17,2023-08-01,96,96,0,39,3,3,3,3,3,3,3,2,N/A,3,N/A,N/A,3,3,3,2,3,2,3,3,N/A,N/A,N/A,3,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1133,43.662740116,-79.417400109,311445.983,4835647.429
622,4154816,2017,1972,2023,PRIVATE,17,Don Valley North,60 CLIPPER RD,14,206,2023-09-16,92,92,0,45,3,3,N/A,N/A,3,3,3,3,3,3,N/A,N/A,3,2,3,3,3,N/A,3,3,3,3,2,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,1,3,3,3,2,3,3,3,3,3,3,N1728,43.7874657527,-79.331069436,318380.816,4849513.425
623,4154815,2017,1970,2023,PRIVATE,17,Don Valley North,70 CLIPPER RD,14,206,2023-09-16,91,91,0,44,3,2,N/A,N/A,3,2,3,3,2,3,N/A,N/A,3,2,3,3,3,N/A,3,3,3,3,N/A,1,3,3,3,3,2,2,2,3,3,2,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,N1728,43.7880141404,-79.3320111395,318304.901,4849574.193
624,4153704,2017,1993,2023,TCHC,19,Beaches-East York,7 COATSWORTH CRES,6,48,2023-09-14,84,84,0,47,3,2,2,3,2,3,3,3,2,1,N/A,3,3,1,3,3,3,3,3,2,2,N/A,2,N/A,3,2,3,3,2,3,3,3,3,2,3,2,3,2,3,3,3,3,2,1,3,3,3,1,3,1,S1931,43.6797322246,-79.3217059206,319160.021,4837546.269
625,4153705,2017,1989,2023,SOCIAL HOUSING,19,Beaches-East York,11 COATSWORTH CRES,6,174,2023-10-11,82,82,0,47,2,3,3,2,1,3,3,3,2,3,N/A,3,3,3,3,3,3,0,3,2,N/A,N/A,3,3,3,0,3,2,1,2,3,3,3,2,2,2,3,2,2,3,2,3,0,3,3,3,3,3,3,3,S1931,43.678997338,-79.321136292,319209.196,4837481.659
